horse_name,horse_id,sex_age_latest,starts,wins,top2,top3,win_rate,quinella_rate,show_rate,avg_finish,avg_last3f,best_last3f,first_race_date,latest_race_date,latest_course,latest_surface,latest_distance_m,latest_finish,condition_starts_json
オドワローズ,pw01dud102023106942/C2,牝2,3,0,0,0,0.0,0.0,0.0,7.6667,35.9333,35.1,2025-08-23,2025-11-02,京都,芝,000,6,"{""中京|芝|400"": 1, ""京都|芝|000"": 1, ""京都|芝|600"": 1}"
オニノウタゲ,pw01dud102023102525/7B,牝2,1,0,0,0,0.0,0.0,0.0,9.0,36.6,36.6,2025-11-16,2025-11-16,東京,芝,600,9,"{""東京|芝|600"": 1}"
オニマル,pw01dud102022100355/DF,牡3,3,0,0,0,0.0,0.0,0.0,9.0,36.3,34.3,2025-01-06,2025-06-07,阪神,芝,200,6,"{""中京|芝|400"": 1, ""福島|芝|200"": 1, ""阪神|芝|200"": 1}"
オニムシャ,pw01dud102022100242/45,牡3,8,0,0,1,0.0,0.0,0.125,8.875,36.975,35.0,2025-03-16,2025-09-15,阪神,芝,200,15,"{""中京|ダート|400"": 1, ""中京|芝|000"": 1, ""中京|芝|200"": 1, ""中山|芝|600"": 1, ""函館|芝|800"": 2, ""札幌|芝|500"": 1, ""阪神|芝|200"": 1}"
オニャンコポン,pw01dud102019104756/3B,せん6,7,0,0,1,0.0,0.0,0.142857,8.5714,35.6857,33.9,2025-03-16,2025-12-13,中京,芝,000,10,"{""中京|芝|000"": 1, ""中山|芝|600"": 1, ""京都|芝|800"": 1, ""東京|芝|800"": 1, ""福島|芝|000"": 1, ""阪神|芝|000"": 1, ""阪神|芝|800"": 1}"
オハナフリューゲル,pw01dud102022100494/DD,牝3,1,0,0,0,0.0,0.0,0.0,10.0,35.1,35.1,2025-03-02,2025-03-02,阪神,芝,800,10,"{""阪神|芝|800"": 1}"
オバケノキンタ,pw01dud102020109129/68,牡5,5,0,0,1,0.0,0.0,0.2,8.8,35.94,34.8,2025-01-05,2025-05-03,京都,芝,400,3,"{""中京|ダート|200"": 1, ""京都|芝|400"": 1, ""小倉|芝|200"": 1, ""福島|芝|200"": 1, ""阪神|芝|400"": 1}"
オパールテソーロ,pw01dud102023106756/3C,牝2,2,0,0,0,0.0,0.0,0.0,12.5,35.2,34.9,2025-10-26,2025-11-01,東京,芝,000,8,"{""新潟|芝|600"": 1, ""東京|芝|000"": 1}"
オビドス,pw01dud102022100073/86,牡3,7,2,3,4,0.285714,0.428571,0.571429,2.8571,35.5714,35.0,2025-01-12,2025-08-17,新潟,芝,400,1,"{""中山|芝|000"": 1, ""中山|芝|200"": 1, ""新潟|芝|400"": 1, ""新潟|芝|800"": 1, ""東京|芝|400"": 2, ""福島|芝|800"": 1}"
オフクマメ,pw01dud102023102105/97,牝2,3,0,0,0,0.0,0.0,0.0,9.6667,35.2,34.5,2025-10-05,2025-12-21,阪神,芝,800,15,"{""京都|芝|200"": 1, ""京都|芝|400"": 1, ""阪神|芝|800"": 1}"
