body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,rating,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
466(+4),55.0,1  1  1  1,札幌,QUARANTINED_HTML:track_condition,1700,2,pw01dud102023104322/9E,タガノシルフィー,1,浜中 俊,40.3,５,04,01,1,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:46.7,,石橋 守,晴,馬齢,,
454(-4),55.0,3  4  3  3,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud102023101091/3B,ストリートクイーン,8,丹内 祐次,39.4,アタマ,04,01,2,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:46.7,,高橋 一哉,晴,馬齢,,
454(-2),55.0,11  11  8  6,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud102023105062/3A,フレンチブラッサム,6,横山 和生,38.5,１ 1/4,04,01,3,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:46.9,,柄崎 将寿,晴,馬齢,,
434(-8),55.0,2  2  2  2,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud102023103191/4A,ワンダーアスク,3,川又 賢治,40.3,ハナ,04,01,5,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:46.9,,笹田 和秀,晴,馬齢,,
440(-2),55.0,5  4  5  5,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud102023101825/1F,ヨドノサファイア,12,横山 武史,39.3,クビ,04,01,9,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:47.0,,稲垣 幸雄,晴,馬齢,,
480(+4),51.0,13  14  13  12,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud102023106953/45,ドゥブルヴェ,9,★河原田 菜々,38.7,６,04,01,13,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:48.0,,池添 学,晴,馬齢,,
420(+6),55.0,11  10  10  10,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud102023103193/30,レーヌペスカ,13,吉田 隼人,39.4,クビ,04,01,14,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:48.0,,角田 晃一,晴,馬齢,,
448(+8),55.0,13  12  12  10,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud102023101796/D1,テリオスリコ,14,古川 吉洋,39.4,２,04,01,11,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:48.3,,松下 武士,晴,馬齢,,
420(-8),55.0,10  9  8  8,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud102023103813/07,ザンシュトーム,7,斎藤 新,40.2,１,04,01,4,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:48.5,,辻 哲英,晴,馬齢,,
450(+20),55.0,6  6  6  7,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud102023105004/C0,クルサール,11,富田 暁,41.0,３,04,01,7,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:49.0,,武 英智,晴,馬齢,,
472(-2),55.0,7  6  6  8,札幌,QUARANTINED_HTML:track_condition,1700,12,pw01dud102023100699/0A,ヒマラヤミュサ,2,石川 倭,41.3,１ 3/4,04,01,12,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:49.3,,畑端 省吾,晴,馬齢,,
462(-2),54.0,9  12  14  14,札幌,QUARANTINED_HTML:track_condition,1700,13,pw01dud102023107103/5C,ダノンルミエール,4,☆舟山 瑠泉,39.6,２,04,01,6,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:49.6,,久保田 貴士,晴,馬齢,,
418(-2),55.0,8  8  10  13,札幌,QUARANTINED_HTML:track_condition,1700,14,pw01dud102023104415/18,アインプロージット,10,佐々木 大輔,41.1,３／４,04,01,10,3歳,未勝利,2026-08-02,pw01sde0101202601040120260802,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,ダート,1:49.7,,小笠 倫弘,晴,馬齢,,
482(+4),55.0,4  5,新潟,PASS_HTML,1600,1,pw01dud102024100464/C5,ノドゥス,7,三浦 皇成,33.5,,04,02,3,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:34.3,良,斎藤 誠,曇,馬齢,,
436(0),55.0,1  1,新潟,PASS_HTML,1600,2,pw01dud102024101041/77,ヴェントリナ,5,津村 明秀,34.3,１,04,02,2,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:34.5,良,相沢 郁,曇,馬齢,,
460(+2),55.0,2  2,新潟,PASS_HTML,1600,3,pw01dud102024100178/0E,サノノキセキ,4,戸崎 圭太,33.9,アタマ,04,02,1,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:34.5,良,尾形 和幸,曇,馬齢,,
426(0),55.0,8  7,新潟,PASS_HTML,1600,4,pw01dud102024101022/CA,デザートスピリット,9,吉田 豊,33.5,１,04,02,4,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:34.6,良,平岩 大典,曇,馬齢,,
426(0),55.0,4  4,新潟,PASS_HTML,1600,5,pw01dud102024100076/F7,シュネーバレン,6,木幡 巧也,34.2,１,04,02,6,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:34.8,良,牧 光二,曇,馬齢,,
444(-2),55.0,9  9,新潟,PASS_HTML,1600,6,pw01dud102024104541/39,エコロテラ,3,菊沢 一樹,33.8,１,04,02,7,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:35.0,良,菊沢 隆徳,曇,馬齢,,
462(+14),55.0,6  5,新潟,PASS_HTML,1600,7,pw01dud102024105762/1D,ウィールズアップ,10,田辺 裕信,34.1,アタマ,04,02,8,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:35.0,良,池上 昌和,曇,馬齢,,
440(+10),55.0,6  7,新潟,PASS_HTML,1600,8,pw01dud102024106831/9A,エレスレイプニル,2,木幡 育也,33.9,クビ,04,02,12,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:35.0,良,杉浦 宏昭,曇,馬齢,,
484(+4),55.0,2  2,新潟,PASS_HTML,1600,9,pw01dud102024104363/DD,タイセイルミナス,11,荻野 極,34.6,１／２,04,02,5,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:35.1,良,小栗 実,曇,馬齢,,
462(-10),55.0,10  10,新潟,PASS_HTML,1600,10,pw01dud102024106066/81,ホワイトフレアー,1,原 優介,34.1,２,04,02,9,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:35.4,良,黒岩 陽一,曇,馬齢,,
404(+6),53.0,12  12,新潟,PASS_HTML,1600,11,pw01dud102024101497/3D,センカンナガト,8,△石神 深道,33.9,１ 1/4,04,02,10,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:35.6,良,和田 雄二,曇,馬齢,,
472(-4),55.0,10  10,新潟,PASS_HTML,1600,12,pw01dud102024105225/41,キミヘノメロディー,12,杉原 誠人,34.9,４,04,02,11,2歳,未勝利,2026-08-02,pw01sde0104202602040120260802,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602040120260802%2FAF,芝,1:36.3,良,石栗 龍彦,曇,馬齢,,
476(-6),55.0,4  3  2  2,札幌,PASS_HTML,1800,1,pw01dud102024107038/26,ジオ,6,丹内 祐次,36.0,,03,01,4,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:50.1,稍重,宮田 敬介,曇,馬齢,,
438(-4),55.0,2  3  4  4,札幌,PASS_HTML,1800,2,pw01dud102024106829/22,ニーナラルゴ,4,原田 和真,36.0,１／２,03,01,3,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:50.2,稍重,上原 博之,曇,馬齢,,
448(+8),55.0,5  5  5  4,札幌,PASS_HTML,1800,3,pw01dud102024103650/18,マイネルリコルディ,2,斎藤 新,36.1,１ 1/4,03,01,2,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:50.4,稍重,青木 孝文,曇,馬齢,,
450(0),55.0,5  5  6  6,札幌,PASS_HTML,1800,4,pw01dud102024106020/8F,ヒアカムズザサン,1,佐々木 大輔,35.9,クビ,03,01,6,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:50.4,稍重,中竹 和也,曇,馬齢,,
412(+4),52.0,8  8  8  8,札幌,PASS_HTML,1800,5,pw01dud102024104133/4B,ブライトシーン,7,▲遠藤 汰月,36.0,１ 1/2,03,01,9,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:50.7,稍重,松尾 卓哉,曇,馬齢,,
440(0),52.0,1  1  1  1,札幌,PASS_HTML,1800,6,pw01dud102024101798/43,ブルーリボン,8,▲小林 美駒,37.1,２,03,01,7,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:51.0,稍重,尾形 和幸,曇,馬齢,,
456(0),54.0,7  7  6  7,札幌,PASS_HTML,1800,7,pw01dud102024101916/3F,ステラルミノーザ,3,☆長浜 鴻緒,36.5,１／２,03,01,8,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:51.1,稍重,千葉 直人,曇,馬齢,,
512(-2),55.0,2  2  2  3,札幌,PASS_HTML,1800,8,pw01dud102024106228/89,ブラッグス,9,北村 友一,37.3,１,03,01,1,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:51.3,稍重,平田 修,曇,馬齢,,
428(+2),55.0,9  8  8  9,札幌,PASS_HTML,1800,9,pw01dud102024102603/32,ロードレスポンス,5,横山 和生,36.7,１／２,03,01,5,2歳,未勝利,2026-08-01,pw01sde1001202601030220260801,2歳未勝利,02,（混合）［指定］,,10時30分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030220260801%2F04,芝,1:51.4,稍重,和田 勇介,曇,馬齢,,
516(+10),57.0,1  1  1  1,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud102023105215/A5,リテラシー,8,松本 大輝,38.1,,03,01,4,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:46.9,,昆 貢,曇,馬齢,,
472(0),53.0,3  2  2  2,札幌,QUARANTINED_HTML:track_condition,1700,2,pw01dud102023102317/EF,バンダムソレール,11,★河原田 菜々,38.2,１ 1/4,03,01,3,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:47.1,,小栗 実,曇,馬齢,,
498(0),57.0,9  8  8  3,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud102023105675/C9,アルジェンタム,5,横山 和生,38.0,クビ,03,01,1,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,せん3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:47.2,,野中 賢二,曇,馬齢,,
508(-6),54.0,11  11  11  8,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud102023100017/7E,アンタレス,9,▲和田 陽希,37.4,３ 1/2,03,01,11,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:47.7,,藤野 健太,曇,馬齢,,
466(-4),57.0,2  2  2  4,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud102023100928/BA,セブンワンダーズ,10,斎藤 新,39.1,１ 1/2,03,01,5,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:48.0,,斎藤 誠,曇,馬齢,,
534(+2),57.0,7  6  4  5,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud102023102520/3C,ハイテイラオユエ,6,横山 武史,38.9,クビ,03,01,2,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:48.0,,辻 哲英,曇,馬齢,,
454(+6),57.0,3  6  4  5,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud102023100785/5F,アズライトアスール,3,佐々木 大輔,39.0,クビ,03,01,9,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:48.1,,鈴木 孝志,曇,馬齢,,
436(-10),57.0,7  8  9  8,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud102023103830/CE,ブルーアンビエンス,1,黛 弘人,38.9,１ 1/4,03,01,10,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:48.3,,菊沢 隆徳,曇,馬齢,,
466(+6),54.0,9  8  10  11,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud102023101994/4D,マクローリン,7,▲小林 美駒,38.8,ハナ,03,01,7,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:48.3,,加藤 公太,曇,馬齢,,
454(+4),55.0,3  4  4  8,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud102023104194/92,コーリンクレア,4,小沢 大仁,39.8,４,03,01,6,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:48.9,,小野 次郎,曇,馬齢,,
426(-8),54.0,3  4  4  7,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud102023102889/3A,エボニードール,2,☆舟山 瑠泉,40.5,４,03,01,8,3歳,未勝利,2026-08-01,pw01sde1001202601030320260801,3歳未勝利,03,[指定],,11時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,ダート,1:49.6,,寺島 良,曇,馬齢,,
504(-10),54.0,1  1  1  1,札幌,PASS_HTML,1800,1,pw01dud102023100840/11,ミリオンクラウン,7,☆舟山 瑠泉,35.4,,03,01,4,3歳以上,1勝クラス,2026-08-01,pw01sde1001202601030420260801,3歳以上1勝クラス,04,[指定],,11時30分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,芝,1:48.0,稍重,和田 雄二,曇,定量,,
420(0),53.0,3  2  2  2,札幌,PASS_HTML,1800,2,pw01dud102023104487/6E,アイドクレース,1,横山 武史,35.5,２ 1/2,03,01,1,3歳以上,1勝クラス,2026-08-01,pw01sde1001202601030420260801,3歳以上1勝クラス,04,[指定],,11時30分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,芝,1:48.4,稍重,金成 貴史,曇,定量,,
474(0),58.0,6  5  5  3,札幌,PASS_HTML,1800,3,pw01dud102021102708/FE,アドミラルシップ,11,丹内 祐次,35.6,３,03,01,3,3歳以上,1勝クラス,2026-08-01,pw01sde1001202601030420260801,3歳以上1勝クラス,04,[指定],,11時30分,牡5,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,芝,1:48.9,稍重,相沢 郁,曇,定量,,
440(+4),58.0,10  10  8  5,札幌,PASS_HTML,1800,4,pw01dud102022106846/D1,ゴールドジェスター,6,黛 弘人,35.6,２,03,01,7,3歳以上,1勝クラス,2026-08-01,pw01sde1001202601030420260801,3歳以上1勝クラス,04,[指定],,11時30分,せん4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,芝,1:49.2,稍重,中川 公成,曇,定量,,
534(0),55.0,7  7  5  3,札幌,PASS_HTML,1800,5,pw01dud102023106921/2F,ブルースカイブルー,4,池添 謙一,36.0,１,03,01,2,3歳以上,1勝クラス,2026-08-01,pw01sde1001202601030420260801,3歳以上1勝クラス,04,[指定],,11時30分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,芝,1:49.3,稍重,平田 修,曇,定量,,
