body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,rating,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
426(-6),51.0,8  9  10  12,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud102023102101/CB,フィエスタ,7,★河原田 菜々,42.0,８,08,01,10,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:51.2,,西村 真幸,晴,馬齢,,
460(+6),55.0,2  2  2  3,札幌,QUARANTINED_HTML:track_condition,1700,12,pw01dud102023101091/3B,ストリートクイーン,13,横山 武史,43.7,３ 1/2,08,01,4,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:51.8,,高橋 一哉,晴,馬齢,,
416(0),55.0,8  7  8  11,札幌,QUARANTINED_HTML:track_condition,1700,13,pw01dud102023105785/0A,フローズンクイーン,12,松本 大輝,43.0,３／４,08,01,12,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:52.0,,藤岡 健一,晴,馬齢,,
440(+8),55.0,13  13  14  14,札幌,QUARANTINED_HTML:track_condition,1700,14,pw01dud102023106517/0D,ルナティックブルー,2,小沢 大仁,44.6,大差,08,01,8,3歳,未勝利,2026-08-16,pw01sde0101202601080120260816,3歳未勝利,01,牝［指定］,,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601080120260816%2FBA,ダート,1:55.5,,今野 貞一,晴,馬齢,,
470(0),57.0,3  3  3  2,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud102023104001/78,クルビデンス,3,佐々木 大輔,38.7,,07,01,1.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:47.6,,菊川 正達,晴,馬齢,,
516(+6),57.0,2  2  2  1,札幌,QUARANTINED_HTML:track_condition,1700,2,pw01dud102023101979/6C,サンオブザサン,12,斎藤 新,39.1,１ 1/2,07,01,4.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:47.8,,高橋 一哉,晴,馬齢,,
496(+6),57.0,11  11  9  9,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud102023102517/51,ジャストグレース,1,古川 吉洋,37.6,３／４,07,01,10.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:48.0,,大根田 裕之,晴,馬齢,,
470(0),57.0,5  3  5  2,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud102023100531/E1,ショウナンタヅナ,7,池添 謙一,39.0,クビ,07,01,5.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:48.0,,武市 康男,晴,馬齢,,
450(-4),55.0,6  6  8  7,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud102023105062/3A,フレンチブラッサム,6,横山 典弘,39.0,３ 1/2,07,01,2.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:48.6,,柄崎 将寿,晴,馬齢,,
502(+2),57.0,8  9  6  4,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud102023106726/0C,フェンリル,13,菊沢 一樹,39.7,２ 1/2,07,01,6.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:49.0,,高木 登,晴,馬齢,,
470(0),56.0,8  10  10  10,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud102023106531/7B,ゴーントゥファー,11,☆長浜 鴻緒,38.6,３,07,01,12.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,せん3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:49.5,,小島 茂之,晴,馬齢,,
464(+2),57.0,3  5  6  4,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud102023104988/D6,メイショウシンガン,5,横山 琉人,40.2,ハナ,07,01,9.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:49.5,,高橋 義忠,晴,馬齢,,
498(+4),57.0,6  6  10  10,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud102023103289/03,マーゴットデウス,4,小沢 大仁,38.7,クビ,07,01,8.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,せん3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:49.5,,今野 貞一,晴,馬齢,,
436(-2),57.0,10  8  3  7,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud102023101714/6B,ワンダーゾルダート,14,松本 大輝,41.4,５,07,01,7.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:50.3,,羽月 友彦,晴,馬齢,,
486(-4),57.0,12  12  12  12,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud102023104286/99,リベンジャー,2,石川 倭,39.0,２ 1/2,07,01,11.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:50.7,,柴田 卓,晴,馬齢,,
520(+2),57.0,1  1  1  4,札幌,QUARANTINED_HTML:track_condition,1700,12,pw01dud102023105060/54,ロードクローザー,9,横山 和生,44.6,大差,07,01,3.0,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,1:53.3,,中舘 英二,晴,馬齢,,
438(-2),57.0,,札幌,QUARANTINED_HTML:track_condition,1700,除外,pw01dud102023104977/53,ニットウエース,8,浜中 俊,,,07,01,,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,,,稲垣 幸雄,晴,馬齢,,
502(-6),54.0,,札幌,QUARANTINED_HTML:track_condition,1700,除外,pw01dud102023100017/7E,アンタレス,10,▲和田 陽希,,,07,01,,3歳,未勝利,2026-08-15,pw01sde0101202601070120260815,3歳未勝利,01,[指定],,10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601070120260815%2F8A,ダート,,,藤野 健太,晴,馬齢,,
470(+2),55.0,2  3,中京,QUARANTINED_HTML:track_condition,1400,1,pw01dud102024101076/E6,スマートポーション,16,J.コレット,39.6,,07,02,6,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:26.1,,加藤 公太,晴,馬齢,,
424(+2),55.0,4  4,中京,QUARANTINED_HTML:track_condition,1400,2,pw01dud102024108132/94,マルモリマイベスト,6,泉谷 楓真,39.9,３,07,02,13,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:26.6,,緒方 努,晴,馬齢,,
448(0),52.0,11  11,中京,QUARANTINED_HTML:track_condition,1400,3,pw01dud102024100009/E0,クリコキアナ,11,▲森田 誠也,39.6,２,07,02,10,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:26.9,,谷 潔,晴,馬齢,,
488(+4),55.0,1  1,中京,QUARANTINED_HTML:track_condition,1400,4,pw01dud102024104363/DD,タイセイルミナス,2,吉村 誠之助,40.7,１,07,02,9,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:27.1,,小栗 実,晴,馬齢,,
466(+4),55.0,11  11,中京,QUARANTINED_HTML:track_condition,1400,5,pw01dud102024104583/5F,ソリドゥス,8,秋山 稔樹,40.0,１ 1/4,07,02,7,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:27.3,,安達 昭夫,晴,馬齢,,
456(-2),55.0,15  15,中京,QUARANTINED_HTML:track_condition,1400,6,pw01dud102024107177/24,ラブシンフォニー,12,幸 英明,39.0,１／２,07,02,16,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:27.4,,藤野 健太,晴,馬齢,,
480(0),55.0,7  7,中京,QUARANTINED_HTML:track_condition,1400,7,pw01dud102024106131/43,ブラックミューズ,15,岩田 望来,40.7,３／４,07,02,1,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:27.5,,松永 幹夫,晴,馬齢,,
490(-2),53.0,14  14,中京,QUARANTINED_HTML:track_condition,1400,8,pw01dud102024108222/B5,ルガルデ,5,△柴田 裕一郎,40.0,クビ,07,02,12,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:27.6,,中竹 和也,晴,馬齢,,
510(-2),55.0,4  5,中京,QUARANTINED_HTML:track_condition,1400,9,pw01dud102024108329/0B,エコログレイス,13,団野 大成,41.0,３／４,07,02,8,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:27.7,,森 秀行,晴,馬齢,,
448(-6),54.0,10  9,中京,QUARANTINED_HTML:track_condition,1400,10,pw01dud102024107310/01,スピーディスピン,7,☆田山 旺佑,40.7,クビ,07,02,4,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:27.8,,加藤 公太,晴,馬齢,,
474(0),55.0,13  11,中京,QUARANTINED_HTML:track_condition,1400,11,pw01dud102024107339/2C,シャインロード,10,松若 風馬,40.6,１ 1/4,07,02,11,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:28.0,,井上 智史,晴,馬齢,,
420(+4),53.0,16  16,中京,QUARANTINED_HTML:track_condition,1400,12,pw01dud102024107158/77,アイシテルヨナオミ,9,◇永島 まなみ,39.2,３／４,07,02,14,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:28.2,,畑端 省吾,晴,馬齢,,
472(+2),55.0,8  9,中京,QUARANTINED_HTML:track_condition,1400,13,pw01dud102024100725/8B,アイゼンフォルク,1,松山 弘平,41.3,１／２,07,02,2,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:28.3,,池添 学,晴,馬齢,,
438(-8),55.0,4  5,中京,QUARANTINED_HTML:track_condition,1400,14,pw01dud102024102979/E7,マルモタワー,3,富田 暁,42.4,５,07,02,15,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:29.1,,中尾 秀正,晴,馬齢,,
456(-2),55.0,8  7,中京,QUARANTINED_HTML:track_condition,1400,15,pw01dud102024107253/69,ブレイズカルナバル,14,国分 恭介,42.2,１／２,07,02,5,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:29.2,,飯田 祐史,晴,馬齢,,
486(-2),55.0,2  2,中京,QUARANTINED_HTML:track_condition,1400,16,pw01dud102024103380/B5,タガノレクシア,4,田口 貫太,42.8,クビ,07,02,3,2歳,未勝利,2026-08-15,pw01sde0107202602070120260815,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602070120260815%2F77,ダート,1:29.3,,鈴木 孝志,晴,馬齢,,
448(+8),55.0,5  3,新潟,PASS_HTML,1600,1,pw01dud102024107260/20,サトノスプレマシー,1,田辺 裕信,33.9,,08,02,2,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:34.1,良,久保田 貴士,晴,馬齢,,
420(-2),55.0,1  1,新潟,PASS_HTML,1600,2,pw01dud102024105671/89,アテナブレイブ,4,三浦 皇成,34.3,ハナ,08,02,4,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:34.1,良,手塚 貴徳,晴,馬齢,,
430(0),55.0,5  6,新潟,PASS_HTML,1600,3,pw01dud102024107186/C1,インサイドエッジ,8,津村 明秀,33.9,１ 1/2,08,02,1,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:34.3,良,和田 勇介,晴,馬齢,,
432(+2),55.0,2  2,新潟,PASS_HTML,1600,4,pw01dud102024100295/06,クラオルグジェシダ,7,戸崎 圭太,34.5,１,08,02,7,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:34.5,良,田島 俊明,晴,馬齢,,
462(0),55.0,7  6,新潟,PASS_HTML,1600,5,pw01dud102024102989/F7,ビーズスティンガー,3,小崎 綾也,34.0,クビ,08,02,12,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:34.5,良,中川 公成,晴,馬齢,,
426(0),55.0,7  9,新潟,PASS_HTML,1600,6,pw01dud102024100076/F7,シュネーバレン,9,杉原 誠人,34.1,１ 1/4,08,02,6,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:34.7,良,牧 光二,晴,馬齢,,
464(-2),55.0,7  6,新潟,PASS_HTML,1600,7,pw01dud102024100316/2A,アルアンダルス,5,石橋 脩,34.2,アタマ,08,02,9,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:34.7,良,小野 次郎,晴,馬齢,,
486(+26),55.0,7  9,新潟,PASS_HTML,1600,8,pw01dud102024107146/81,スターリーデー,10,菊沢 一樹,34.4,１ 3/4,08,02,3,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:35.0,良,茶木 太樹,晴,馬齢,,
444(+4),55.0,11  11,新潟,PASS_HTML,1600,9,pw01dud102024101755/AA,トリプティーク,13,柴田 大知,34.7,４,08,02,10,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:35.7,良,和田 雄二,晴,馬齢,,
472(-8),55.0,13  13,新潟,PASS_HTML,1600,10,pw01dud102024100813/C6,フランベリー,11,野中 悠太郎,34.4,クビ,08,02,11,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:35.8,良,杉浦 宏昭,晴,馬齢,,
402(-2),52.0,11  11,新潟,PASS_HTML,1600,11,pw01dud102024101296/68,スケルツォテソーロ,6,▲佐藤 翔馬,35.0,１／２,08,02,8,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:35.9,良,稲垣 幸雄,晴,馬齢,,
470(-2),55.0,3  3,新潟,PASS_HTML,1600,12,pw01dud102024104453/FE,レーゲンシャウアー,12,武藤 雅,36.6,５,08,02,13,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:36.8,良,天間 昭一,晴,馬齢,,
454(-2),55.0,4  3,新潟,PASS_HTML,1600,13,pw01dud102024106664/C1,ユタライト,2,丸山 元気,37.1,３,08,02,5,2歳,未勝利,2026-08-16,pw01sde0104202602080120260816,2歳未勝利,01,牝［指定］,,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602080120260816%2FC9,芝,1:37.3,良,宮田 敬介,晴,馬齢,,
472(0),57.0,2  2,札幌,QUARANTINED_HTML:track_condition,1000,1,pw01dud102023103746/5F,メイワキラリ,11,川又 賢治,35.4,,07,01,3,3歳,未勝利,2026-08-15,pw01sde1001202601070320260815,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601070320260815%2FD3,ダート,0:59.4,,河嶋 宏樹,晴,馬齢,,
492(+6),57.0,1  1,札幌,QUARANTINED_HTML:track_condition,1000,2,pw01dud102023104377/2D,ナブッコ,1,横山 武史,35.7,クビ,07,01,7,3歳,未勝利,2026-08-15,pw01sde1001202601070320260815,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601070320260815%2FD3,ダート,0:59.5,,橋田 宜長,晴,馬齢,,
452(0),57.0,5  2,札幌,QUARANTINED_HTML:track_condition,1000,3,pw01dud102023106605/48,フェイスリフト,10,古川 吉洋,35.4,１ 3/4,07,01,6,3歳,未勝利,2026-08-15,pw01sde1001202601070320260815,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601070320260815%2FD3,ダート,0:59.8,,嘉藤 貴行,晴,馬齢,,
484(+22),54.0,8  8,札幌,QUARANTINED_HTML:track_condition,1000,4,pw01dud102023105279/D1,アニマレイ,6,▲小林 美駒,35.4,２ 1/2,07,01,2,3歳,未勝利,2026-08-15,pw01sde1001202601070320260815,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601070320260815%2FD3,ダート,1:00.2,,須貝 尚介,晴,馬齢,,
472(+2),57.0,3  2,札幌,QUARANTINED_HTML:track_condition,1000,5,pw01dud102023106556/DA,サンライズロイ,9,菱田 裕二,36.0,クビ,07,01,9,3歳,未勝利,2026-08-15,pw01sde1001202601070320260815,3歳未勝利,03,[指定],,11時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601070320260815%2FD3,ダート,1:00.2,,牧浦 充徳,晴,馬齢,,
438(+10),53.0,3  5,札幌,QUARANTINED_HTML:track_condition,1000,6,pw01dud102023104847/F2,フェアリーキャット,2,◇古川 奈穂,36.2,１,07,01,5,3歳,未勝利,2026-08-15,pw01sde1001202601070320260815,3歳未勝利,03,[指定],,11時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601070320260815%2FD3,ダート,1:00.4,,鈴木 慎太郎,晴,馬齢,,
