body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,rating,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
466(0),55.0,1  1  1,中京,PASS_HTML,1600,1,pw01dud102024106677/2A,ジーティーキャリー,9,西村 淳也,34.4,,05,02,1,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:34.4,良,松下 武士,晴,馬齢,,
460(+2),55.0,5  6  6,中京,PASS_HTML,1600,2,pw01dud102024102305/85,メイショウジェード,1,太宰 啓介,33.8,１,05,02,3,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:34.5,良,本田 優,晴,馬齢,,
456(-2),55.0,2  2  2,中京,PASS_HTML,1600,3,pw01dud102024105437/99,シュプレヒコール,4,吉村 誠之助,34.5,クビ,05,02,2,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:34.6,良,清水 久詞,晴,馬齢,,
500(-4),55.0,7  6  6,中京,PASS_HTML,1600,4,pw01dud102024102953/15,カローナ,8,M.デムーロ,34.5,３ 1/2,05,02,7,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:35.2,良,高橋 義忠,晴,馬齢,,
428(-4),54.0,8  8  8,中京,PASS_HTML,1600,5,pw01dud102024102958/54,ロンリーマン,6,☆田山 旺佑,34.2,クビ,05,02,5,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:35.2,良,荒川 義之,晴,馬齢,,
460(-4),55.0,9  9  9,中京,PASS_HTML,1600,6,pw01dud102024101174/31,タナコクシテンホウ,3,幸 英明,34.0,３／４,05,02,8,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:35.3,良,大根田 裕之,晴,馬齢,,
494(-10),55.0,2  4  3,中京,PASS_HTML,1600,7,pw01dud102024103554/B3,プリメラエストレラ,2,J.コレット,35.5,２ 1/2,05,02,4,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:35.8,良,橋田 宜長,晴,馬齢,,
420(-4),55.0,4  3  3,中京,PASS_HTML,1600,8,pw01dud102024104426/27,イザベル,7,松若 風馬,35.6,１／２,05,02,6,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:35.9,良,藤野 健太,晴,馬齢,,
390(-4),55.0,5  4  3,中京,PASS_HTML,1600,9,pw01dud102024101083/9D,ララララブソング,5,加藤 祥太,36.1,３ 1/2,05,02,9,2歳,未勝利,2026-08-08,pw01sde0107202602050120260808,2歳未勝利,01,（混合）［指定］,,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202602050120260808%2F6E,芝,1:36.5,良,小椋 研介,晴,馬齢,,
468(-2),55.0,9  8  5  2,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud102024100560/2A,テムファイア,10,古川 吉洋,39.4,,06,01,3,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:47.1,,伊藤 圭三,晴,馬齢,,
490(+2),55.0,2  1  1  1,札幌,QUARANTINED_HTML:track_condition,1700,2,pw01dud102024106406/E5,サルトヴェローチェ,12,北村 友一,40.4,２,06,01,1,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:47.4,,上村 洋行,晴,馬齢,,
522(0),52.0,11  11  8  6,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud102024107319/0C,エコロヴァルド,4,▲小林 美駒,39.0,２ 1/2,06,01,9,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:47.8,,牧浦 充徳,晴,馬齢,,
478(+2),54.0,2  2  2  3,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud102024107403/7B,ハイビスカス,9,☆舟山 瑠泉,42.7,大差,06,01,6,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:49.9,,杉浦 宏昭,晴,馬齢,,
486(+2),52.0,1  4  2  3,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud102024102290/A5,シンゼンノト,3,▲遠藤 汰月,42.6,アタマ,06,01,5,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:49.9,,荒川 義之,晴,馬齢,,
514(-6),55.0,10  10  10  8,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud102024106587/09,マーズエクレール,2,岩田 康誠,41.7,５,06,01,2,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:50.7,,佐藤 悠太,晴,馬齢,,
478(0),55.0,2  2  2  3,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud102024100203/90,シャムスクッカ,5,小沢 大仁,44.1,３ 1/2,06,01,7,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:51.3,,高柳 大輔,晴,馬齢,,
442(-2),55.0,12  12  12  12,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud102024103006/54,モーモーワン,11,原田 和真,41.9,５,06,01,12,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:52.2,,萱野 浩二,晴,馬齢,,
416(+6),51.0,5  5  7  9,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud102024101610/FA,カナデ,7,★河原田 菜々,43.9,アタマ,06,01,10,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:52.2,,中村 直也,晴,馬齢,,
466(+10),55.0,5  5  6  6,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud102024104861/EC,ベイビーブラザー,1,吉田 隼人,44.4,ハナ,06,01,8,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:52.2,,安達 昭夫,晴,馬齢,,
436(+2),55.0,8  8  11  11,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud102024103569/02,ヴァイタリズム,8,斎藤 新,43.3,２,06,01,4,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:52.5,,緒方 努,晴,馬齢,,
426(+2),55.0,7  7  8  10,札幌,QUARANTINED_HTML:track_condition,1700,12,pw01dud102024107000/5E,イチゴワタアメ,6,横山 琉人,44.6,５,06,01,11,2歳,未勝利,2026-08-09,pw01sde0101202601060120260809,2歳未勝利,01,（混合）［指定］,,10時00分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601060120260809%2FB1,ダート,1:53.3,,中舘 英二,晴,馬齢,,
512(-2),55.0,3  3  3  3,新潟,PASS_HTML,2000,1,pw01dud102024106670/05,ラガリーガ,8,坂井 瑠星,34.6,レコード,06,02,1,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:00.0,良,手塚 貴久,曇,馬齢,,
434(-2),55.0,2  2  2  2,新潟,PASS_HTML,2000,2,pw01dud102024105911/BC,シアルナーレ,11,戸崎 圭太,35.0,３／４,06,02,4,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:00.2,良,田中 博康,曇,馬齢,,
450(-8),55.0,1  1  1  1,新潟,PASS_HTML,2000,3,pw01dud102024102885/FA,マハロハ,15,吉村 誠之助,35.9,５,06,02,9,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:01.0,良,清水 久詞,曇,馬齢,,
418(+8),55.0,13  12  11  11,新潟,PASS_HTML,2000,4,pw01dud102024104469/C0,エクスマキナ,1,石川 裕紀人,34.6,１／２,06,02,5,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:01.1,良,手塚 貴徳,曇,馬齢,,
486(-2),53.0,3  3  3  3,新潟,PASS_HTML,2000,5,pw01dud102024107390/81,スーパーユタカ,13,△石神 深道,35.8,クビ,06,02,3,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:01.1,良,武井 亮,曇,馬齢,,
468(0),55.0,14  14  14  14,新潟,PASS_HTML,2000,6,pw01dud102024103837/7F,セイウンオオゾラ,9,大野 拓弥,34.4,１／２,06,02,8,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:01.2,良,小手川 準,曇,馬齢,,
448(0),55.0,6  5  6  5,新潟,PASS_HTML,2000,7,pw01dud102024102850/8B,セレスタイト,3,杉原 誠人,35.7,１ 1/2,06,02,10,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:01.5,良,岩戸 孝樹,曇,馬齢,,
472(-10),55.0,6  7  7  7,新潟,PASS_HTML,2000,8,pw01dud102024100715/7B,アオイノリプー,6,田辺 裕信,35.8,２,06,02,2,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:01.8,良,尾形 和幸,曇,馬齢,,
444(0),55.0,15  15  14  14,新潟,PASS_HTML,2000,9,pw01dud102024107201/33,ウィモウェ,10,菱田 裕二,35.1,１／２,06,02,7,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:01.9,良,吉田 直弘,曇,馬齢,,
480(0),55.0,5  5  5  5,新潟,PASS_HTML,2000,10,pw01dud102024103368/2D,ツーハーツ,14,岩田 望来,36.5,１ 1/2,06,02,6,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:02.1,良,寺島 良,曇,馬齢,,
460(-6),55.0,16  16  16  16,新潟,PASS_HTML,2000,11,pw01dud102024103591/9A,コスモフラムオット,7,武藤 雅,35.1,アタマ,06,02,13,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:02.1,良,武藤 善則,曇,馬齢,,
408(-2),55.0,11  12  9  8,新潟,PASS_HTML,2000,12,pw01dud102024102852/71,マイホームパパ,5,江田 照男,36.0,１／２,06,02,12,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:02.2,良,深山 雅史,曇,馬齢,,
528(-4),55.0,9  9  9  8,新潟,PASS_HTML,2000,13,pw01dud102024101589/44,エイシンウルクンデ,2,三浦 皇成,36.2,１,06,02,11,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:02.4,良,勢司 和浩,曇,馬齢,,
412(0),55.0,11  11  11  11,新潟,PASS_HTML,2000,14,pw01dud102024101224/12,モンサンアミュザン,4,木幡 巧也,36.6,４,06,02,16,2歳,未勝利,2026-08-09,pw01sde0104202602060120260809,2歳未勝利,01,[指定],,9時40分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202602060120260809%2FC0,芝,2:03.0,良,牧 光二,曇,馬齢,,
